2017-07-03 15:38:03,996 [__main__] INFO:	Firing up the GUI window.
2017-07-03 15:38:21,330 [__main__] INFO:	Running through prechecks...
2017-07-03 15:38:21,331 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-03 15:38:21,331 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-03 15:38:21,331 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-03 15:38:21,331 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbmodem1411: [Errno 2] No such file or directory: '/dev/tty.usbmodem1411'")
2017-07-03 15:39:29,161 [__main__] WARNING:	System has not passed health check!
2017-07-05 15:03:12,996 [__main__] INFO:	Firing up the GUI window.
2017-07-05 15:07:41,448 [__main__] INFO:	Firing up the GUI window.
2017-07-05 15:07:44,840 [__main__] INFO:	Running through prechecks...
2017-07-05 15:07:44,842 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:07:44,843 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-05 15:07:44,844 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-05 15:07:44,847 [__main__] DEBUG:	Acquired serial connection.
2017-07-05 15:07:51,075 [__main__] INFO:	Running through prechecks...
2017-07-05 15:07:51,075 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:07:51,075 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-05 15:07:51,075 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-05 15:07:51,077 [__main__] DEBUG:	Acquired serial connection.
2017-07-05 15:07:58,175 [__main__] INFO:	Running through kill application safety procedures.


2017-07-05 15:07:58,176 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:07:58,176 [__main__] WARNING:	Not able to kill bath.
2017-07-05 15:11:23,236 [__main__] INFO:	Firing up the GUI window.
2017-07-05 15:11:25,642 [__main__] INFO:	Running through prechecks...
2017-07-05 15:11:25,642 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:11:25,643 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-05 15:11:25,643 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-05 15:11:25,644 [__main__] DEBUG:	Acquired serial connection.
2017-07-05 15:14:28,598 [__main__] INFO:	Running through kill application safety procedures.


2017-07-05 15:14:28,600 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:14:28,600 [__main__] WARNING:	Not able to kill bath.
2017-07-05 15:14:30,916 [__main__] INFO:	Firing up the GUI window.
2017-07-05 15:14:34,307 [__main__] INFO:	Running through prechecks...
2017-07-05 15:14:34,308 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:14:34,308 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-05 15:14:34,308 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-05 15:14:34,310 [__main__] DEBUG:	Acquired serial connection.
2017-07-05 15:14:34,310 [__main__] INFO:	Starting Calibration Board Controller
2017-07-05 15:14:34,311 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-05 15:14:35,312 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-05 15:14:35,312 [__main__] ERROR:	Calboard is unhealthy, stopping calibration.


2017-07-05 15:16:26,810 [__main__] INFO:	Running through kill application safety procedures.


2017-07-05 15:16:26,811 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:16:26,811 [__main__] WARNING:	Not able to kill bath.
2017-07-05 15:16:29,130 [__main__] INFO:	Firing up the GUI window.
2017-07-05 15:16:31,345 [__main__] INFO:	Running through prechecks...
2017-07-05 15:16:31,346 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:16:31,346 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-05 15:16:31,346 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-05 15:16:31,348 [__main__] DEBUG:	Acquired serial connection.
2017-07-05 15:16:31,349 [__main__] INFO:	Starting Calibration Board Controller
2017-07-05 15:16:31,349 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-05 15:16:32,350 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-05 15:16:33,351 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-05 15:16:33,352 [__main__] ERROR:	Calboard is unhealthy, stopping calibration.


2017-07-05 15:17:44,883 [__main__] INFO:	Running through kill application safety procedures.


2017-07-05 15:17:44,885 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:17:44,885 [__main__] WARNING:	Not able to kill bath.
2017-07-05 15:17:47,411 [__main__] INFO:	Firing up the GUI window.
2017-07-05 15:17:50,581 [__main__] INFO:	Running through prechecks...
2017-07-05 15:17:50,581 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 15:17:50,581 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-05 15:17:50,582 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-05 15:17:50,583 [__main__] DEBUG:	Acquired serial connection.
2017-07-05 15:17:50,584 [__main__] INFO:	Starting Calibration Board Controller
2017-07-05 15:17:50,584 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-05 15:17:51,585 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-05 15:17:52,587 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-05 15:17:53,588 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-05 15:17:53,589 [__main__] ERROR:	Calboard is unhealthy, stopping calibration.


2017-07-05 23:00:02,098 [__main__] INFO:	Running through kill application safety procedures.


2017-07-05 23:00:02,103 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-05 23:00:02,104 [__main__] WARNING:	Not able to kill bath.
2017-07-06 16:19:22,264 [__main__] INFO:	Firing up the GUI window.
2017-07-06 16:19:28,010 [__main__] INFO:	Running through prechecks...
2017-07-06 16:19:28,010 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:19:28,010 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:19:28,011 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:19:28,012 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:19:28,013 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:19:28,013 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:19:29,013 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-06 16:19:30,015 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-06 16:19:30,016 [__main__] ERROR:	Calboard is unhealthy, stopping calibration.


2017-07-06 16:47:16,963 [__main__] INFO:	Firing up the GUI window.
2017-07-06 16:47:21,014 [__main__] INFO:	Running through prechecks...
2017-07-06 16:47:21,014 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:47:21,014 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:47:21,015 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:47:21,016 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:47:22,017 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:47:22,017 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
